Province,Cities,Country
Jakarta,Denpasar,Indonesia
North Sulawesi,Bandung,
Riau,Batu,
Yogyakarta,Bekasi,
East Kalimantan,Blitar,
Riau Islands,Bogor,
Central Kalimantan,Cianjur,
Central Java,Cilegon,
North Sumatra,Cimahi,
Bangka–Belitung Islands,Cirebon,
West Sumatra,Depok,
South Sumatra,Jakarta,
Jambi,Madiun,
West Java,Magelang,
Bali,Malang,
Bengkulu,Mojokerto,
Aceh Darussalam,Pasuruan,
East Java,Pekalongan,
Maluku,Probolinggo,
Lampung,Salatiga,
South Sulawesi,Semarang,
Central Sulawesi,South Tangerang,
Banten,Sukabumi,
Gorontalo,Surabaya,
South East Sulawesi,Surakarta,
South Kalimantan,Tasikmalaya,
West Sulawesi,Tangerang,
North Maluku,Tegal,
West Kalimantan,Yogyakarta,
West Papua,Kediri,
East Nusa Tenggara,Serang,
West Nusa Tenggara,Purwokerto,
Papua,Balikpapan,
,Banjarbaru,
,Banjarmasin,
,Bontang,
,Palangkaraya,
,Pontianak,
,Samarinda,
,Singkawang,
,Tarakan,
,Tenggarong,
,Ambon,
,Tual,
,Ternate,
,Tidore,
,Bima,
,Mataram,
,Kupang,
,Atambua,
,Jayapura,
,Merauke,
,Kota Sorong,
,Manokwari,
,Bau-Bau,
,Bitung,
,Gorontalo,
,Kendari,
,Makassar,
,Manado,
,Palu,
,Pare-Pare,
,Palopo,
,Tomohon,
,Banda Aceh,
,Bandar Lampung,
,Batam,
,Bengkulu,
,Blangkejeren,
,Binjai,
,Bireuen,
,Bukittinggi,
,Dumai,
,Jambi,
,Langsa,
,Lhokseumawe,
,Lubuklinggau,
,Meulaboh,
,Medan,
,Metro,
,Padang,
,Padang Panjang,
,Padang Sidempuan,
,Pagar Alam,
,Palembang,
,Pangkal Pinang,
,Pariaman,
,Payakumbuh,
,Pekanbaru,
,Pematang Siantar,
,Prabumulih,
,Sigli,
,Redelong (Simpang Tiga Redelong),
,Sabang,
,Sawah Lunto,
,Sibolga,
,Singkil,
,Solok,
,Takengon,
,Tapaktuan,
,Tanjung Balai,
,Tanjung Pinang,
,Tebing Tinggi,
